point x,Function Value
1,0.81432914
1.0003,0.814632027
1.0006,0.814935228
1.0009,0.815238744
1.0012,0.815542575
1.0015,0.815846721
1.0018,0.816151183
1.0021,0.816455961
1.0024,0.816761055
1.0027,0.817066464
1.003,0.817372191
1.0033,0.817678233
1.0036,0.817984593
1.0039,0.818291269
1.0042,0.818598262
1.0045,0.818905573
1.0048,0.819213201
1.0051,0.819521147
1.0054,0.81982941
1.0057,0.820137992
1.006,0.820446892
1.0063,0.82075611
1.0066,0.821065647
1.0069,0.821375503
1.0072,0.821685677
1.0075,0.821996171
1.0078,0.822306984
1.0081,0.822618117
1.0084,0.82292957
1.0087,0.823241342
1.009,0.823553435
1.0093,0.823865848
1.0096,0.824178581
1.0099,0.824491635
1.0102,0.82480501
1.0105,0.825118706
1.0108,0.825432724
1.0111,0.825747063
1.0114,0.826061723
1.0117,0.826376705
1.012,0.82669201
1.0123,0.827007636
1.0126,0.827323585
1.0129,0.827639856
1.0132,0.82795645
1.0135,0.828273367
1.0138,0.828590608
1.0141,0.828908171
1.0144,0.829226058
1.0147,0.829544269
1.015,0.829862804
1.0153,0.830181662
1.0156,0.830500845
1.0159,0.830820352
1.0162,0.831140184
1.0165,0.831460341
1.0168,0.831780823
1.0171,0.83210163
1.0174,0.832422762
1.0177,0.83274422
1.018,0.833066003
1.0183,0.833388112
1.0186,0.833710548
1.0189,0.83403331
1.0192,0.834356398
1.0195,0.834679812
1.0198,0.835003554
1.0201,0.835327623
1.0204,0.835652018
1.0207,0.835976741
1.021,0.836301792
1.0213,0.83662717
1.0216,0.836952877
1.0219,0.837278911
1.0222,0.837605273
1.0225,0.837931964
1.0228,0.838258984
1.0231,0.838586333
1.0234,0.83891401
1.0237,0.839242016
1.024,0.839570352
1.0243,0.839899018
1.0246,0.840228013
1.0249,0.840557338
1.0252,0.840886993
1.0255,0.841216978
1.0258,0.841547294
1.0261,0.84187794
1.0264,0.842208917
1.0267,0.842540225
1.027,0.842871864
1.0273,0.843203835
1.0276,0.843536136
1.0279,0.84386877
1.0282,0.844201735
1.0285,0.844535032
1.0288,0.844868662
1.0291,0.845202624
1.0294,0.845536918
1.0297,0.845871545
1.03,0.846206505
1.0303,0.846541798
1.0306,0.846877424
1.0309,0.847213384
1.0312,0.847549677
1.0315,0.847886304
1.0318,0.848223264
1.0321,0.848560559
1.0324,0.848898188
1.0327,0.849236152
1.033,0.84957445
1.0333,0.849913083
1.0336,0.850252051
1.0339,0.850591354
1.0342,0.850930992
1.0345,0.851270965
1.0348,0.851611275
1.0351,0.85195192
1.0354,0.852292901
1.0357,0.852634218
1.036,0.852975871
1.0363,0.853317861
1.0366,0.853660188
1.0369,0.854002851
1.0372,0.854345852
1.0375,0.854689189
1.0378,0.855032864
1.0381,0.855376876
1.0384,0.855721226
1.0387,0.856065914
1.039,0.85641094
1.0393,0.856756303
1.0396,0.857102006
1.0399,0.857448046
1.0402,0.857794425
1.0405,0.858141143
1.0408,0.8584882
1.0411,0.858835596
1.0414,0.859183332
1.0417,0.859531407
1.042,0.859879821
1.0423,0.860228575
