Word1,Word2,Word3,Target1,Target2,Target3,Target4,Target5
1,2,3,1,0,0,0,0
1,3,2,1,0,0,0,0
2,1,3,1,0,0,0,0
2,3,1,1,0,0,0,0
3,1,2,1,0,0,0,0
3,2,1,1,0,0,0,0
4,5,6,0,1,0,0,0
4,6,5,0,1,0,0,0
5,4,6,0,1,0,0,0
5,6,4,0,1,0,0,0
6,4,5,0,1,0,0,0
6,5,4,0,1,0,0,0
7,8,9,0,0,1,0,0
7,9,8,0,0,1,0,0
8,7,9,0,0,1,0,0
8,9,7,0,0,1,0,0
9,7,8,0,0,1,0,0
9,8,7,0,0,1,0,0
10,11,12,0,0,0,1,0
10,12,11,0,0,0,1,0
11,10,12,0,0,0,1,0
11,12,10,0,0,0,1,0
12,10,11,0,0,0,1,0
12,11,10,0,0,0,1,0
13,14,15,0,0,0,0,1
13,15,14,0,0,0,0,1
14,13,15,0,0,0,0,1
14,15,13,0,0,0,0,1
15,13,14,0,0,0,0,1
15,14,13,0,0,0,0,1
